Alloc;gauge;;runtime
BuckHashSys;gauge;;runtime
Frees;gauge;;runtime
GCCPUFraction;gauge;;runtime
GCSys;gauge;;runtime
HeapAlloc;gauge;;runtime
HeapIdle;gauge;;runtime
HeapInuse;gauge;;runtime
HeapObjects;gauge;;runtime
HeapReleased;gauge;;runtime
HeapSys;gauge;;runtime
LastGC;gauge;;runtime
Lookups;gauge;;runtime
Lookups;gauge;;runtime
MCacheSys;gauge;;runtime
MSpanInuse;gauge;;runtime
MSpanSys;gauge;;runtime
Mallocs;gauge;;runtime
NextGC;gauge;;runtime
NumForcedGC;gauge;;runtime
NumGC;gauge;;runtime
OtherSys;gauge;;runtime
PauseTotalNs;gauge;;runtime
StackInuse;gauge;;runtime
StackSys;gauge;;runtime
Sys;gauge;;runtime
TotalAlloc;gauge;;runtime
PollCount;counter;;counter
RandomValue;counter;;random